fireID,firename,fireyear,firesize,buffSize_km,buffArea_acres,n_observations,firemonth
1021,HUDSON,2017,1182.301,1,3096,10,7
1045,GARZA,2017,48886.66,1,20821,1,7
1087,WASH,2010,947.4305,1,2771,14,5
1092,COTTON,2010,2037.958,1,4283,1,5
1094,SCHOOL,2014,223.7788,1,1739,230,4
1107,SANDY,2016,0,1,1430,31,7
1108,LAKE,2020,30999.2885572,1,3232,1,9
1109,DOME,2020,44211.0845875,1,17321,24,9
1110,BOBCAT,2020,115997.570061,1,19113,45,9
1112,DEL PUERTO,2020,390647.255599,1,25919,90,10
261,SAWTOOTH COMPLEX,2006,61767.18,1,21263,12,7
263,PINES,2002,61691.24,1,27880,33,8
264,PALM#1,2002,94.97114,1,948,2,NA
271,PARADISE,2005,3081.726,1,6825,590,6
283,DOS PALMAS,2008,456.4143,1,2758,44,4
291,TECOPA,2010,105.7345,1,2008,1,8
296,NARROWS,2010,49.86191,1,1444,4,6
311,RANGE,2011,241.0146,1,1996,1,NA
314,EAGLE,2011,13992.99,1,10110,20,7
329,BANNER FIRE,2012,5320.116,1,7663,5,5
331,MOUNTAIN,2013,27523.67,1,4308,26,7
351,MOFFAT,2018,1253.925,1,5273,2,5
356,HAUGHTELIN,2010,2319.5,1,3615,4,5
358,TOPOCK,2016,2228.4,1,2972,6,4
359,SENATOR,2012,47.72357,1,1408,147,NA
368,DRAPER,2017,754.3,1,4002,11,10
392,TECOPA,2017,26.99327,1,1205,17,9
400,VIEW,2012,376.1476,1,2327,5,6
409,PILOT,2016,8110.823,1,4363,6,8
410,WINDY POINT,2011,541.494,1,2171,2,9
414,BLUE CUT,2016,36266.55,1,15282,1,8
417,STEWART,2012,10630.18,1,8290,29,8
418,POWERHOUSE,2013,30267.57,1,9729,16,6
505,BLAISDELL,2005,5491.788,1,6101,1,8
506,COYOTE,2003,18704.78,1,7988,7,7
508,BLUE CUT,2002,6821.039,1,2855,1,6
512,OLD,2003,91428,1,9371,1,11
518,LOUISIANA,2002,6564.211,1,1550,1,6
531,TRAM,2013,59.22004,1,1167,1,8
565,HACKBERRY COMPLEX 1,2005,63771.3,1,30414,33,6
678,SODA,2005,449.4977,1,2125,9,6
727,SAN LUIS,2005,332.2597,1,1055,20,NA
73,LOS FLORES,2007,4099.966,1,5461,1,4
76,ELM,2005,271.6541,1,2037,1,6
78,INDIAN 2,2005,188.7452,1,1823,2,9
82,VERBENIA,2004,3831.371,1,4300,3,7
856,HWY166,2004,65.16033,1,1285,15,NA
873,ROMERO,2000,1706.85,1,3568,95,8
926,BECK,2000,396.3609,1,2259,11,NA
929,BASALT,2004,410.184,1,2879,13,5
938,ROMERO,2008,766.0438,1,1916,79,7
939,COTTONWOOD2,2008,796.5697,1,2359,2,7
946,PARKWAY,2009,689.9021,1,2144,6,6
971,ROMERO,2011,451.0401,1,1303,21,7
974,SODA,2011,1533.496,1,5293,3,9
1021,HUDSON,2017,1182.301,2,4610,8,7
1086,SODA,2016,2000.281,2,5370,9,6
1087,WASH,2010,947.4305,2,4265,3,5
1092,COTTON,2010,2037.958,2,5508,4,5
1094,SCHOOL,2014,223.7788,2,3267,40,4
1107,SANDY,2016,0,2,2962,7,7
1108,LAKE,2020,30999.2885572,2,3437,1,9
1109,DOME,2020,44211.0845875,2,17466,35,9
1110,BOBCAT,2020,115997.570061,2,15236,33,9
1111,MINERAL,2020,29666.8421487,2,15290,2,7
1112,DEL PUERTO,2020,390647.255599,2,29881,11,10
261,SAWTOOTH COMPLEX,2006,61767.18,2,18494,35,7
263,PINES,2002,61691.24,2,26578,27,8
264,PALM#1,2002,94.97114,2,705,4,NA
271,PARADISE,2005,3081.726,2,6137,3,6
283,DOS PALMAS,2008,456.4143,2,4226,1,4
311,RANGE,2011,241.0146,2,3533,10,NA
314,EAGLE,2011,13992.99,2,8233,13,7
329,BANNER FIRE,2012,5320.116,2,6861,1,5
331,MOUNTAIN,2013,27523.67,2,5702,13,7
332,RIVER,2013,406.8415,2,3820,16,2
351,MOFFAT,2018,1253.925,2,6644,2,5
356,HAUGHTELIN,2010,2319.5,2,5166,20,5
358,TOPOCK,2016,2228.4,2,4492,184,4
359,SENATOR,2012,47.72357,2,2937,300,NA
360,ALAMO,2016,136.4,2,3282,41,8
368,DRAPER,2017,754.3,2,5349,11,10
400,VIEW,2012,376.1476,2,3817,7,6
410,WINDY POINT,2011,541.494,2,2449,3,9
417,STEWART,2012,10630.18,2,5490,2,8
418,POWERHOUSE,2013,30267.57,2,9258,49,6
505,BLAISDELL,2005,5491.788,2,4843,1,8
506,COYOTE,2003,18704.78,2,7109,2,7
512,OLD,2003,91428,2,6255,1,11
531,TRAM,2013,59.22004,2,1644,4,8
565,HACKBERRY COMPLEX 1,2005,63771.3,2,25865,2,6
678,SODA,2005,449.4977,2,3409,8,6
721,DOS AMIGOS,2005,746.0347,2,4738,1,6
78,INDIAN 2,2005,188.7452,2,3192,5,9
82,VERBENIA,2004,3831.371,2,4028,5,7
856,HWY166,2004,65.16033,2,2836,11,NA
873,ROMERO,2000,1706.85,2,3891,1,8
911,NEW IDRIA,2003,632.0136,2,4026,11,5
926,BECK,2000,396.3609,2,3513,27,NA
929,BASALT,2004,410.184,2,3551,68,5
935,BROWN,2008,3786.915,2,6740,1,6
939,COTTONWOOD2,2008,796.5697,2,3424,2,7
946,PARKWAY,2009,689.9021,2,3679,15,6
974,SODA,2011,1533.496,2,6473,2,9
997,MCCABE,2015,1728.974,2,4024,1,7
1021,HUDSON,2017,1182.301,5,10997,10,7
1045,GARZA,2017,48886.66,5,36191,11,7
1086,SODA,2016,2000.281,5,18451,14,6
1087,WASH,2010,947.4305,5,15530,94,5
1092,COTTON,2010,2037.958,5,17931,5,5
1094,SCHOOL,2014,223.7788,5,10475,310,4
1107,SANDY,2016,0,5,13684,925,7
1108,LAKE,2020,30999.2885572,5,8776,2,9
1109,DOME,2020,44211.0845875,5,40530,31,9
1110,BOBCAT,2020,115997.570061,5,35447,56,9
1111,MINERAL,2020,29666.8421487,5,36157,2,7
1112,DEL PUERTO,2020,390647.255599,5,68965,128,10
261,SAWTOOTH COMPLEX,2006,61767.18,5,33737,17,7
263,PINES,2002,61691.24,5,45164,80,8
264,PALM#1,2002,94.97114,5,1806,18,NA
271,PARADISE,2005,3081.726,5,11261,11,6
283,DOS PALMAS,2008,456.4143,5,16175,15,4
291,TECOPA,2010,105.7345,5,11370,76,8
311,RANGE,2011,241.0146,5,11555,8,NA
314,EAGLE,2011,13992.99,5,16210,195,7
329,BANNER FIRE,2012,5320.116,5,8800,5,5
331,MOUNTAIN,2013,27523.67,5,19020,41,7
332,RIVER,2013,406.8415,5,14127,82,2
351,MOFFAT,2018,1253.925,5,19549,4,5
356,HAUGHTELIN,2010,2319.5,5,18081,1004,5
358,TOPOCK,2016,2228.4,5,16707,186,4
359,SENATOR,2012,47.72357,5,13635,92,NA
360,ALAMO,2016,136.4,5,14318,52,8
368,DRAPER,2017,754.3,5,18386,13,10
392,TECOPA,2017,26.99327,5,9655,2,9
400,VIEW,2012,376.1476,5,9889,68,6
409,PILOT,2016,8110.823,5,10180,2,8
410,WINDY POINT,2011,541.494,5,7519,25,9
414,BLUE CUT,2016,36266.55,5,28196,11,8
417,STEWART,2012,10630.18,5,7796,11,8
418,POWERHOUSE,2013,30267.57,5,22018,38,6
505,BLAISDELL,2005,5491.788,5,8347,9,8
506,COYOTE,2003,18704.78,5,17478,11,7
508,BLUE CUT,2002,6821.039,5,6596,5,6
512,OLD,2003,91428,5,12859,5,11
518,LOUISIANA,2002,6564.211,5,6560,5,6
531,TRAM,2013,59.22004,5,6467,10,8
565,HACKBERRY COMPLEX 1,2005,63771.3,5,54933,12,6
678,SODA,2005,449.4977,5,9266,9,6
721,DOS AMIGOS,2005,746.0347,5,17217,5,6
727,SAN LUIS,2005,332.2597,5,4436,222,NA
73,LOS FLORES,2007,4099.966,5,9675,1,4
76,ELM,2005,271.6541,5,8834,3,6
78,INDIAN 2,2005,188.7452,5,8965,25,9
82,VERBENIA,2004,3831.371,5,8127,2,7
856,HWY166,2004,65.16033,5,10399,95,NA
873,ROMERO,2000,1706.85,5,7717,70,8
911,NEW IDRIA,2003,632.0136,5,15789,18,5
926,BECK,2000,396.3609,5,11668,48,NA
929,BASALT,2004,410.184,5,11639,208,5
935,BROWN,2008,3786.915,5,20951,255,6
938,ROMERO,2008,766.0438,5,5692,226,7
939,COTTONWOOD2,2008,796.5697,5,6841,44,7
941,AVENAL,2008,945.3325,5,8650,1,8
946,PARKWAY,2009,689.9021,5,15118,11,6
968,REED,2011,5899.568,5,21624,2,9
971,ROMERO,2011,451.0401,5,4760,221,7
974,SODA,2011,1533.496,5,16752,24,9
975,TURKEY,2012,2530.048,5,15112,15,7
997,MCCABE,2015,1728.974,5,10588,8,7
1021,HUDSON,2017,1182.301,5,10997,10,7
1045,GARZA,2017,48886.66,5,36191,11,7
1086,SODA,2016,2000.281,5,18451,14,6
1087,WASH,2010,947.4305,5,15530,94,5
1092,COTTON,2010,2037.958,5,17931,5,5
1094,SCHOOL,2014,223.7788,5,10475,310,4
1107,SANDY,2016,0,5,13684,925,7
1108,LAKE,2020,30999.2885572,5,8776,2,9
1109,DOME,2020,44211.0845875,5,40530,31,9
1110,BOBCAT,2020,115997.570061,5,35447,56,9
1111,MINERAL,2020,29666.8421487,5,36157,2,7
1112,DEL PUERTO,2020,390647.255599,5,68965,128,10
261,SAWTOOTH COMPLEX,2006,61767.18,5,33737,17,7
263,PINES,2002,61691.24,5,45164,80,8
264,PALM#1,2002,94.97114,5,1806,18,NA
271,PARADISE,2005,3081.726,5,11261,11,6
283,DOS PALMAS,2008,456.4143,5,16175,15,4
291,TECOPA,2010,105.7345,5,11370,76,8
311,RANGE,2011,241.0146,5,11555,8,NA
314,EAGLE,2011,13992.99,5,16210,195,7
329,BANNER FIRE,2012,5320.116,5,8800,5,5
331,MOUNTAIN,2013,27523.67,5,19020,41,7
332,RIVER,2013,406.8415,5,14127,82,2
351,MOFFAT,2018,1253.925,5,19549,4,5
356,HAUGHTELIN,2010,2319.5,5,18081,1004,5
358,TOPOCK,2016,2228.4,5,16707,186,4
359,SENATOR,2012,47.72357,5,13635,92,NA
360,ALAMO,2016,136.4,5,14318,52,8
368,DRAPER,2017,754.3,5,18386,13,10
392,TECOPA,2017,26.99327,5,9655,2,9
400,VIEW,2012,376.1476,5,9889,68,6
409,PILOT,2016,8110.823,5,10180,2,8
410,WINDY POINT,2011,541.494,5,7519,25,9
414,BLUE CUT,2016,36266.55,5,28196,11,8
417,STEWART,2012,10630.18,5,7796,11,8
418,POWERHOUSE,2013,30267.57,5,22018,38,6
505,BLAISDELL,2005,5491.788,5,8347,9,8
506,COYOTE,2003,18704.78,5,17478,11,7
508,BLUE CUT,2002,6821.039,5,6596,5,6
512,OLD,2003,91428,5,12859,5,11
518,LOUISIANA,2002,6564.211,5,6560,5,6
531,TRAM,2013,59.22004,5,6467,10,8
565,HACKBERRY COMPLEX 1,2005,63771.3,5,54933,12,6
678,SODA,2005,449.4977,5,9266,9,6
721,DOS AMIGOS,2005,746.0347,5,17217,5,6
727,SAN LUIS,2005,332.2597,5,4436,222,NA
73,LOS FLORES,2007,4099.966,5,9675,1,4
76,ELM,2005,271.6541,5,8834,3,6
78,INDIAN 2,2005,188.7452,5,8965,25,9
82,VERBENIA,2004,3831.371,5,8127,2,7
856,HWY166,2004,65.16033,5,10399,95,NA
873,ROMERO,2000,1706.85,5,7717,70,8
911,NEW IDRIA,2003,632.0136,5,15789,18,5
926,BECK,2000,396.3609,5,11668,48,NA
929,BASALT,2004,410.184,5,11639,208,5
935,BROWN,2008,3786.915,5,20951,255,6
938,ROMERO,2008,766.0438,5,5692,226,7
939,COTTONWOOD2,2008,796.5697,5,6841,44,7
941,AVENAL,2008,945.3325,5,8650,1,8
946,PARKWAY,2009,689.9021,5,15118,11,6
968,REED,2011,5899.568,5,21624,2,9
971,ROMERO,2011,451.0401,5,4760,221,7
974,SODA,2011,1533.496,5,16752,24,9
975,TURKEY,2012,2530.048,5,15112,15,7
997,MCCABE,2015,1728.974,5,10588,8,7
