fireID,firename,fireYear,firemonth,start_date,end_date,firesize,lat,long,total_obs
360,ALAMO,2016,8,7/19/2016,8/19/2016,136.4,32.72623563,-114.7196636,1
941,AVENAL,2008,8,8/19/2008,8/20/2008,945.3325,35.96644944,-120.1777751,11
329,BANNER FIRE,2012,5,5/24/2012,5/29/2012,5320.116,33.05534998,-116.4489329,2
929,BASALT,2004,5,5/21/2004,5/21/2004,410.184,37.06256718,-121.0330525,22
926,BECK,2000,,,,396.3609,35.35774545,-120.0181144,2
673,BLAIR,2006,,,,66.48067,35.00435135,-115.4896674,1
505,BLAISDELL,2005,8,8/26/2005,8/30/2005,5491.788,33.8724992,-116.6361786,2
508,BLUE CUT,2002,6,6/16/2002,6/22/2002,6821.039,34.3477355,-117.4940366,2
414,BLUE CUT,2016,8,8/16/2016,8/23/2016,36266.55,34.3307838,-117.4500281,4
1110,BOBCAT,2020,9,9/6/2020,12/18/2020,115997.5701,34.44409202,-117.8787415,9
935,BROWN,2008,6,6/21/2008,6/24/2008,3786.915,36.68727697,-120.9202581,3
1092,COTTON,2010,5,5/15/2010,5/17/2010,2037.958,35.06121708,-119.8855852,1
939,COTTONWOOD2,2008,7,7/10/2008,7/11/2008,796.5697,37.0982181,-121.1349579,1
506,COYOTE,2003,7,7/16/2003,7/26/2003,18704.78,33.40436775,-116.5459773,1
1112,DEL PUERTO,2020,10,8/16/2020,10/1/2020,390647.2556,37.34377696,-121.2251403,15
1109,DOME,2020,9,8/16/2020,9/14/2020,44211.08459,35.29355274,-115.5846466,125
721,DOS AMIGOS,2005,6,6/3/2005,6/3/2005,746.0347,36.90558058,-120.8210259,1
283,DOS PALMAS,2008,4,4/13/2008,4/15/2008,456.4143,33.49849723,-115.822648,1
368,DRAPER,2017,10,9/12/2017,10/5/2017,754.3,33.20674823,-114.679941,3
314,EAGLE,2011,7,7/21/2020,7/29/2020,13992.99,33.32105597,-116.4708142,16
76,ELM,2005,6,6/2/2005,6/4/2005,271.6541,33.89465401,-116.7363123,1
1045,GARZA,2017,7,7/9/2017,7/21/2017,48886.66,35.95911859,-120.3067694,2
565,HACKBERRY COMPLEX 1,2005,6,6/22/2005,6/24/2005,63771.3,35.11426809,-115.4156769,31
356,HAUGHTELIN,2010,5,5/7/2010,5/7/2010,2319.5,32.76356089,-114.5673796,1
1021,HUDSON,2017,7,7/18/2017,7/19/2017,1182.301,34.94899585,-119.4659252,1
856,HWY166,2004,,,,65.16033,34.89591211,-119.5013951,2
78,INDIAN 2,2005,9,9/9/2005,9/10/2005,188.7452,33.99924127,-116.5737841,1
1108,LAKE,2020,9,8/12/2020,9/28/2020,30999.28856,34.73322974,-118.4942957,1
73,LOS FLORES,2007,4,3/31/2007,4/1/2007,4099.966,34.35697217,-117.2736978,1
518,LOUISIANA,2002,6,6/26/2002,6/30/2002,6564.211,34.31946995,-117.4915205,2
383,MATZ,2017,5,5/29/2017,5/30/2017,14.05731,34.03618746,-116.5650819,1
997,MCCABE,2015,7,7/18/2015,7/21/2015,1728.974,37.15567659,-121.1390449,3
1111,MINERAL,2020,7,7/13/2020,7/26/2020,29666.84215,36.14644556,-120.5128089,1
351,MOFFAT,2018,5,4/19/2018,5/21/2018,1253.925,36.67894243,-118.0858687,3
331,MOUNTAIN,2013,7,7/15/2013,7/30/2013,27523.67,33.73122173,-116.5635617,3
296,NARROWS,2010,6,6/16/2010,20100617,49.86191,33.11176492,-116.4454723,3
911,NEW IDRIA,2003,5,5/18/2002,5/18/2002,632.0136,36.53419387,-120.8250935,2
512,OLD,2003,11,10/25/2003,11/14/2003,91428,34.32877712,-117.3564521,6
264,PALM#1,2002,,,,94.97114,33.28524217,-116.4412966,1
271,PARADISE,2005,6,6/22/2005,6/25/2005,3081.726,34.0502987,-116.5565552,23
946,PARKWAY,2009,6,6/22/2009,6/22/2009,689.9021,34.96386845,-118.9447029,1
409,PILOT,2016,8,8/7/2016,8/16/2016,8110.823,34.32035803,-117.2692109,1
263,PINES,2002,8,7/29/2002,8/16/2002,61691.24,33.19233505,-116.5063989,17
418,POWERHOUSE,2013,6,5/30/2013,6/8/2013,30267.57,34.72406129,-118.4373119,6
311,RANGE,2011,,,,241.0146,34.76925673,-118.5594779,1
968,REED,2011,9,9/10/2011,9/11/2011,5899.568,35.5150914,-118.9554293,1
332,RIVER,2013,2,2/24/2013,2/28/2013,406.8415,36.59942612,-118.0306635,1
873,ROMERO,2000,8,8/9/2000,9/9/2000,1706.85,37.08589732,-121.0767239,52
938,ROMERO,2008,7,7/21/2008,7/22/2008,766.0438,37.08008141,-121.074012,5
971,ROMERO,2011,7,7/23/2011,7/23/2011,451.0401,37.07961579,-121.0792673,1
727,SAN LUIS,2005,,,,332.2597,37.07879837,-121.0746693,2
1107,SANDY,2016,7,7/16/2016,7/16/2016,0,37.18348295,-120.6608889,1
261,SAWTOOTH COMPLEX,2006,7,7/9/2006,7/20/2006,61767.18,34.16708681,-116.4966976,1
1094,SCHOOL,2014,4,4/30/2014,4/30/2014,223.7788,34.92581722,-119.4055639,4
359,SENATOR,2012,,,,47.72357,32.88376376,-114.4825498,1
678,SODA,2005,6,6/4/2005,6/4/2005,449.4977,35.02683855,-119.582939,1
974,SODA,2011,9,9/3/2011,9/4/2011,1533.496,34.94613348,-119.463646,1
1086,SODA,2016,6,6/4/2016,6/19/2016,2000.281,35.36026687,-119.9380885,4
417,STEWART,2012,8,8/13/2012,8/19/2012,10630.18,33.13597399,-116.4938346,19
291,TECOPA,2010,8,8/28/2010,8/30/2010,105.7345,35.84230728,-116.2258429,17
392,TECOPA,2017,9,9/11/2017,9/15/2017,26.99327,35.88035718,-116.236086,1
358,TOPOCK,2016,4,4/6/2016,4/9/2016,2228.4,34.73711027,-114.517961,1
531,TRAM,2013,8,8/6/2013,8/8/2013,59.22004,33.83504964,-116.6112118,1
975,TURKEY,2012,7,7/9/2012,7/20/2012,2530.048,35.8324844,-120.2746445,3
82,VERBENIA,2004,7,7/11/2004,7/16/2004,3831.371,33.88638478,-116.7001049,2
400,VIEW,2012,6,6/17/2012,6/18/2012,376.1476,33.94371829,-116.655438,1
1087,WASH,2010,5,5/15/2010,5/16/2010,947.4305,35.11568487,-119.7855199,1
410,WINDY POINT,2011,9,9/25/2011,9/26/2011,541.494,33.86707172,-116.5950287,1
