obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID
45,Gopherus agassizii,Reptilia,Testudines,2009,5,15,-115.451528,35.154436,NA,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
1067,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2020,9,5,-116.493414,33.326946,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
3439,Puma concolor,Mammalia,Carnivora,2019,11,5,-116.47808,33.153343,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
3516,Colaptes chrysoides,Aves,Piciformes,2019,6,7,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
3945,Ammospermophilus nelsoni,Mammalia,Rodentia,2021,5,24,-119.797113,35.113389,NA,HUMAN_OBSERVATION,WASH,2010,947.4305,1087
3954,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2006,12,30,-116.452502,33.312273,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
4077,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2018,6,29,-116.493487,33.356533,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
4755,Colaptes chrysoides,Aves,Piciformes,2010,7,16,-115.55262,35.31624,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
4897,Haliaeetus leucocephalus,Aves,Accipitriformes,2011,5,29,-121.30736,37.44076,NA,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112
5334,Colaptes chrysoides,Aves,Piciformes,2010,6,1,-115.52253,35.26816,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
5500,Agelaius tricolor,Aves,Passeriformes,2010,4,22,-120.174,35.9561,2,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
6528,Agelaius tricolor,Aves,Passeriformes,2017,2,26,-116.534831,33.375444,NA,HUMAN_OBSERVATION,COYOTE,2003,18704.78,506
6677,Empidonax traillii,Aves,Passeriformes,2020,10,3,-116.56721,34.047775,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
6928,Colaptes chrysoides,Aves,Piciformes,2013,12,28,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
7181,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2017,3,4,-116.473421,33.261868,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
7213,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2017,2,18,-116.473271,33.303021,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
7213,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2017,2,18,-116.473271,33.303021,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
7365,Gopherus agassizii,Reptilia,Testudines,2015,5,27,-115.489642,35.004906,NA,HUMAN_OBSERVATION,BLAIR,2006,66.48067,673
7395,Buteo swainsoni,Aves,Accipitriformes,2021,5,21,-115.823739,33.499592,NA,HUMAN_OBSERVATION,DOS PALMAS,2008,456.4143,283
7476,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2017,9,25,-116.459088,33.331965,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
7700,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2020,3,9,-116.482208,33.22775,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
8859,Empidonax traillii,Aves,Passeriformes,2016,9,4,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
10878,Empidonax traillii,Aves,Passeriformes,1998,5,16,-115.33627,35.160686,NA,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
11082,Uma inornata,Reptilia,Squamata,2004,4,23,-116.610386,33.83464,NA,HUMAN_OBSERVATION,TRAM,2013,59.22004,531
11521,Agelaius tricolor,Aves,Passeriformes,2020,1,4,-120.922588,36.70639,NA,HUMAN_OBSERVATION,BROWN,2008,3786.915,935
11580,Agelaius tricolor,Aves,Passeriformes,2019,1,18,-120.827993,36.53064,NA,HUMAN_OBSERVATION,NEW IDRIA,2003,632.0136,911
12485,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,2,6,-120.48183,36.081917,1,HUMAN_OBSERVATION,MINERAL,2020,29666.8421487,1111
18307,Colaptes chrysoides,Aves,Piciformes,2019,6,19,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
18915,Gymnogyps californianus,Aves,Accipitriformes,2012,2,3,-119.407104,34.92114,4,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094
19159,Colaptes chrysoides,Aves,Piciformes,1975,12,4,-115.42099,35.092037,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
43294,Colaptes chrysoides,Aves,Piciformes,2017,4,2,-115.60192,35.277576,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
44457,Empidonax traillii,Aves,Passeriformes,2015,6,7,-115.43524,35.131176,2,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
44521,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,6,19,-121.15877,37.169483,1,HUMAN_OBSERVATION,MCCABE,2015,1728.974,997
44521,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,6,19,-121.15877,37.169483,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112
46067,Colaptes chrysoides,Aves,Piciformes,2019,5,26,-115.51266,35.25319,3,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
46243,Colaptes chrysoides,Aves,Piciformes,2008,4,5,-115.56999,35.347614,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
46564,Buteo swainsoni,Aves,Accipitriformes,2016,1,30,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
47495,Buteo swainsoni,Aves,Accipitriformes,2014,4,5,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
47564,Melanerpes uropygialis,Aves,Piciformes,2010,2,6,-114.718895,32.727943,1,HUMAN_OBSERVATION,ALAMO,2016,136.4,360
47641,Agelaius tricolor,Aves,Passeriformes,2014,3,28,-121.30736,37.44076,10,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112
47772,Empidonax traillii,Aves,Passeriformes,2019,5,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
48118,Empidonax traillii,Aves,Passeriformes,1972,6,4,-116.58022,34.044693,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
48357,Gymnogyps californianus,Aves,Accipitriformes,2017,10,10,-119.40669,34.928482,7,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094
48914,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,21,-121.07082,37.077686,1,HUMAN_OBSERVATION,SAN LUIS,2005,332.2597,727
48914,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,21,-121.07082,37.077686,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
48914,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,21,-121.07082,37.077686,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938
48914,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,21,-121.07082,37.077686,1,HUMAN_OBSERVATION,ROMERO,2011,451.0401,971
50520,Colaptes chrysoides,Aves,Piciformes,2019,6,7,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
51396,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,1,29,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
51694,Colaptes chrysoides,Aves,Piciformes,2017,4,15,-115.60192,35.277576,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
51865,Buteo swainsoni,Aves,Accipitriformes,2020,7,22,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
51941,Agelaius tricolor,Aves,Passeriformes,1983,6,10,-118.96196,35.529922,NA,HUMAN_OBSERVATION,REED,2011,5899.568,968
52606,Empidonax traillii,Aves,Passeriformes,1999,5,7,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
52713,Buteo swainsoni,Aves,Accipitriformes,2013,5,20,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
53958,Buteo swainsoni,Aves,Accipitriformes,2019,3,24,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
54135,Empidonax traillii,Aves,Passeriformes,1974,9,19,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
55036,Colaptes chrysoides,Aves,Piciformes,2019,5,18,-115.523964,35.269314,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
55741,Riparia riparia,Aves,Passeriformes,2019,5,27,-116.2235,35.832287,10,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
55904,Buteo swainsoni,Aves,Accipitriformes,2009,5,3,-119.50361,34.894096,1,HUMAN_OBSERVATION,HWY166,2004,65.16033,856
55996,Empidonax traillii,Aves,Passeriformes,2017,5,27,-116.2235,35.832287,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
57722,Colaptes chrysoides,Aves,Piciformes,2015,5,25,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
57964,Colaptes chrysoides,Aves,Piciformes,2018,11,25,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
58616,Buteo swainsoni,Aves,Accipitriformes,2013,5,20,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
58734,Buteo swainsoni,Aves,Accipitriformes,2015,6,30,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
60188,Buteo swainsoni,Aves,Accipitriformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
60303,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
60704,Colaptes chrysoides,Aves,Piciformes,2017,3,17,-115.57676,35.354145,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
60858,Agelaius tricolor,Aves,Passeriformes,2003,3,8,-120.6635,37.185223,NA,HUMAN_OBSERVATION,SANDY,2016,0,1107
61437,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,12,3,-121.06041,37.08305,3,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
61622,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,9,7,-121.059135,37.07799,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
61622,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,9,7,-121.059135,37.07799,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938
61680,Colaptes chrysoides,Aves,Piciformes,2013,12,28,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
62102,Empidonax traillii,Aves,Passeriformes,2014,5,23,-119.58132,35.025692,2,HUMAN_OBSERVATION,SODA,2016,2000.281,1086
62450,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,12,1,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
63719,Agelaius tricolor,Aves,Passeriformes,2010,4,21,-117.38007,34.318535,8,HUMAN_OBSERVATION,OLD,2003,91428,512
63795,Empidonax traillii,Aves,Passeriformes,2018,9,26,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
65513,Buteo swainsoni,Aves,Accipitriformes,2017,5,28,-120.80931,36.89789,2,HUMAN_OBSERVATION,DOS AMIGOS,2005,746.0347,721
65983,Buteo swainsoni,Aves,Accipitriformes,2012,4,2,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
67005,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,3,9,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
67019,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,7,11,-121.06041,37.08305,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
67063,Buteo swainsoni,Aves,Accipitriformes,2014,4,24,-121.30736,37.44076,2,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112
68034,Colaptes chrysoides,Aves,Piciformes,2020,10,17,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
68172,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,12,3,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
68230,Empidonax traillii,Aves,Passeriformes,2003,5,31,-116.46194,33.226517,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263
69094,Colaptes chrysoides,Aves,Piciformes,2014,3,24,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
69708,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,1,30,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
70901,Riparia riparia,Aves,Passeriformes,2019,5,27,-116.2235,35.832287,10,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
71032,Empidonax traillii,Aves,Passeriformes,2013,8,31,-115.43524,35.131176,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
71509,Empidonax traillii,Aves,Passeriformes,1985,8,14,-115.3593,35.1476,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
71809,Empidonax traillii,Aves,Passeriformes,2005,5,24,-116.2235,35.832287,NA,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
73073,Colaptes chrysoides,Aves,Piciformes,2013,8,8,-115.52253,35.26816,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
73720,Empidonax traillii,Aves,Passeriformes,2009,5,23,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
73819,Empidonax traillii,Aves,Passeriformes,2011,5,16,-117.45584,34.322678,3,HUMAN_OBSERVATION,BLUE CUT,2016,36266.55,414
73819,Empidonax traillii,Aves,Passeriformes,2011,5,16,-117.45584,34.322678,3,HUMAN_OBSERVATION,BLUE CUT,2002,6821.039,508
74015,Empidonax traillii,Aves,Passeriformes,2009,6,15,-116.2235,35.832287,NA,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
74796,Empidonax traillii,Aves,Passeriformes,2005,6,2,-116.2235,35.832287,NA,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
75406,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,12,2,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
75412,Colaptes chrysoides,Aves,Piciformes,2017,7,27,-115.386314,35.177177,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
75698,Empidonax traillii,Aves,Passeriformes,2008,5,29,-116.22368,35.83723,NA,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
75946,Buteo swainsoni,Aves,Accipitriformes,2016,2,27,-121.06041,37.08305,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
76062,Haliaeetus leucocephalus,Aves,Accipitriformes,2014,3,13,-121.06041,37.08305,NA,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
76217,Empidonax traillii,Aves,Passeriformes,2001,6,2,-117.45919,34.32205,1,HUMAN_OBSERVATION,BLUE CUT,2016,36266.55,414
76217,Empidonax traillii,Aves,Passeriformes,2001,6,2,-117.45919,34.32205,1,HUMAN_OBSERVATION,BLUE CUT,2002,6821.039,508
76475,Riparia riparia,Aves,Passeriformes,2014,5,23,-116.23726,35.88015,4,HUMAN_OBSERVATION,TECOPA,2017,26.99327,392
77381,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
77701,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
77902,Buteo swainsoni,Aves,Accipitriformes,2009,6,23,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
78221,Riparia riparia,Aves,Passeriformes,2009,4,26,-116.22368,35.83723,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
78514,Buteo swainsoni,Aves,Accipitriformes,2015,4,18,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
79456,Colaptes chrysoides,Aves,Piciformes,2010,4,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
81035,Colaptes chrysoides,Aves,Piciformes,2014,5,17,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
81296,Agelaius tricolor,Aves,Passeriformes,2017,5,2,-119.58132,35.025692,8,HUMAN_OBSERVATION,SODA,2016,2000.281,1086
81563,Agelaius tricolor,Aves,Passeriformes,2014,6,6,-121.30011,37.441776,3,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112
83818,Empidonax traillii,Aves,Passeriformes,2002,6,11,-118.08964,36.688896,NA,HUMAN_OBSERVATION,MOFFAT,2018,1253.925,351
83924,Buteo swainsoni,Aves,Accipitriformes,2020,9,22,-121.255264,37.448895,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112
84072,Agelaius tricolor,Aves,Passeriformes,2012,1,17,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
84263,Colaptes chrysoides,Aves,Piciformes,1972,7,5,-115.55262,35.31624,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
84582,Colaptes chrysoides,Aves,Piciformes,2019,5,19,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
84657,Empidonax traillii,Aves,Passeriformes,2019,5,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
85081,Buteo swainsoni,Aves,Accipitriformes,2016,4,10,-116.5078,33.14084,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
85907,Colaptes chrysoides,Aves,Piciformes,2020,6,13,-115.43697,35.163403,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
86225,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,10,3,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
86860,Buteo swainsoni,Aves,Accipitriformes,2019,4,13,-115.43524,35.131176,2,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
87102,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,1,30,-121.13317,37.10022,1,HUMAN_OBSERVATION,COTTONWOOD2,2008,796.5697,939
87510,Agelaius tricolor,Aves,Passeriformes,2019,5,24,-117.898926,34.47154,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110
88530,Colaptes chrysoides,Aves,Piciformes,2017,3,18,-115.52008,35.26856,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
88541,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,1,30,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
88821,Empidonax traillii,Aves,Passeriformes,2004,6,5,-116.46194,33.226517,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263
89057,Melanerpes uropygialis,Aves,Piciformes,2011,6,15,-114.68353,33.202213,2,HUMAN_OBSERVATION,DRAPER,2017,754.3,368
91335,Buteo swainsoni,Aves,Accipitriformes,2016,5,13,-121.06041,37.08305,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
91830,Agelaius tricolor,Aves,Passeriformes,2012,4,17,-118.42872,34.70799,969,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418
92585,Empidonax traillii,Aves,Passeriformes,2017,9,24,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
92605,Empidonax traillii,Aves,Passeriformes,2019,5,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
93193,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,11,3,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
94400,Haliaeetus leucocephalus,Aves,Accipitriformes,2012,2,3,-119.407104,34.92114,1,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094
96104,Agelaius tricolor,Aves,Passeriformes,1999,3,27,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
96723,Colaptes chrysoides,Aves,Piciformes,1998,6,7,-115.60192,35.277576,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
96943,Colaptes chrysoides,Aves,Piciformes,2013,8,31,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
97645,Colaptes chrysoides,Aves,Piciformes,2020,6,13,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
97657,Agelaius tricolor,Aves,Passeriformes,1999,3,30,-120.174,35.9561,NA,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
99187,Empidonax traillii,Aves,Passeriformes,2011,6,15,-114.68353,33.202213,1,HUMAN_OBSERVATION,DRAPER,2017,754.3,368
99643,Riparia riparia,Aves,Passeriformes,2013,4,10,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
99859,Colaptes chrysoides,Aves,Piciformes,2014,6,21,-115.52318,35.26818,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
100463,Haliaeetus leucocephalus,Aves,Accipitriformes,2014,6,6,-121.30011,37.441776,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112
100513,Colaptes chrysoides,Aves,Piciformes,2019,5,12,-115.520065,35.268368,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
100790,Colaptes chrysoides,Aves,Piciformes,2016,4,23,-115.52041,35.268417,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
100805,Colaptes chrysoides,Aves,Piciformes,1973,6,25,-115.60192,35.277576,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
102330,Empidonax traillii,Aves,Passeriformes,2012,5,26,-117.85463,34.44599,NA,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110
102413,Colaptes chrysoides,Aves,Piciformes,2016,5,8,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
102727,Riparia riparia,Aves,Passeriformes,2016,5,14,-117.29355,34.309288,2,HUMAN_OBSERVATION,PILOT,2016,8110.823,409
103641,Colaptes chrysoides,Aves,Piciformes,2018,4,10,-115.5301,35.288033,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
103751,Puma concolor,Mammalia,Carnivora,2019,7,20,-116.476837,33.152608,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
103830,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2017,4,12,-116.469246,33.314483,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
